ticker,price,box_top,box_bottom,pct_above_box,vol_today,vol_avg_20d,vol_ratio,suggested_stop,target_30pct,risk_pct,rr_ratio,box_range_pct,ma20,ma_rising,price_vs_ma20_pct,score,grade,tier,emoji
BELRISE.NS,234.73,223.5,204.6,5.02,35591647,3555858,10.01,219.03,305.15,6.69,4.49,8.46,215.0,True,9.18,88,A,CLEAN,🟢
DATAPATTNS.NS,4558.5,4320.0,3600.1,5.52,4127329,998318,4.13,4233.6,5926.05,7.13,4.21,16.66,4034.39,True,12.99,82,B+,SOLID,🟡
ASTERDM.NS,790.35,785.0,711.3,0.68,2322658,550935,4.22,769.3,1027.45,2.66,11.26,9.39,748.16,True,5.64,80,B+,SOLID,🟡
MAHABANK.NS,83.97,82.2,76.9,2.15,37916467,11242622,3.37,80.56,109.16,4.07,7.38,6.45,79.54,True,5.56,80,B+,SOLID,🟡
J&KBANK.NS,156.98,151.95,129.62,3.31,10288273,3629367,2.83,148.91,204.07,5.14,5.84,14.7,140.69,True,11.58,80,B+,SOLID,🟡
CAPLIPOINT.NS,2255.2,2148.0,1950.0,4.99,614597,255618,2.4,2105.04,2931.76,6.66,4.51,9.22,2026.15,True,11.3,80,B+,SOLID,🟡
CARTRADE.NS,2187.6,2080.0,1690.1,5.17,1932614,636493,3.04,2038.4,2843.88,6.82,4.4,18.75,1843.08,True,18.69,78,B+,SOLID,🟡
MRPL.NS,160.34,158.85,143.12,0.94,11030914,5049834,2.18,155.67,208.44,2.91,10.31,9.9,151.06,True,6.15,70,B,SOLID,🟡
CANBK.NS,137.51,136.5,123.67,0.74,57732050,27909838,2.07,133.77,178.76,2.72,11.03,9.4,130.81,True,5.12,70,B,SOLID,🟡
CEMPRO.NS,1203.8,1149.0,847.0,4.77,1748987,777300,2.25,1126.02,1564.94,6.46,4.64,26.28,980.63,True,22.76,65,C+,MARGINAL,🟠
BANKINDIA.NS,147.72,147.49,134.6,0.16,22003735,9252340,2.38,144.54,192.04,2.15,13.94,8.74,141.49,True,4.4,63,C+,MARGINAL,🟠
